Obs,Gender,SearchTime,Benefits
1,2,4,
2,2,4,630
3,2,4,600
4,2,5,520
5,2,4,
6,2,5,400
7,1,1,220
8,2,5,
9,1,2,
10,1,4,550
11,2,5,
12,2,5,
13,2,3,300
14,2,5,700
15,1,3,
16,1,3,
17,1,2,
18,2,2,
19,1,1,
20,1,3,
21,2,2,1600
22,1,5,
23,1,3,
24,1,4,
25,2,4,
26,1,4,
27,2,4,
28,2,5,
29,2,2,
30,1,3,
31,1,2,
32,1,5,
33,2,5,
34,1,5,
35,2,1,
36,2,2,570
37,1,1,
38,2,2,
39,1,3,
40,1,2,
41,2,5,
42,1,2,
43,2,4,
44,1,5,
45,1,2,
46,2,3,
47,1,3,
48,2,2,
49,1,1,
50,1,3,
51,1,3,
52,2,5,
53,1,5,
54,2,3,
55,2,2,
56,2,2,
57,1,2,
58,1,4,
59,2,2,
60,2,5,
61,1,2,
62,2,2,
63,2,1,
64,2,3,
65,2,3,
66,1,1,
67,1,5,
68,1,3,
69,1,2,
70,2,4,1000
71,1,5,
72,2,5,
73,1,5,
74,2,5,
75,1,5,
76,1,5,
77,2,2,500
78,2,4,1600
79,1,5,900
80,2,4,
81,2,1,
82,1,1,
83,2,2,
84,1,3,2500
85,1,4,
86,2,5,
87,2,4,500
88,2,4,
89,1,4,
90,2,4,
91,1,1,
92,1,5,500
93,2,5,770
94,1,5,
95,2,1,
96,1,5,
97,1,5,
98,2,5,
99,2,4,
100,2,1,
101,2,2,
102,2,5,
103,1,4,
104,1,4,
105,1,4,
106,1,3,
107,1,5,
108,2,1,
109,2,5,1000
110,2,3,
111,2,1,
112,1,2,
113,2,3,
114,1,5,
115,1,5,
116,1,3,
117,1,5,
118,2,5,
119,1,5,
120,2,5,
121,2,3,
122,1,1,
123,2,5,
124,2,5,600
125,1,1,
126,2,4,
127,2,3,
128,2,5,
129,2,3,
130,2,2,
131,2,5,
132,1,4,
133,1,4,
134,2,2,
135,1,3,1500
136,1,3,900
137,2,3,
138,1,1,
139,1,5,450
140,2,4,
141,1,3,1500
142,2,4,450
143,2,2,300
144,1,4,640
145,1,2,
146,1,5,2000
147,1,2,
148,2,2,1000
149,1,4,110
150,2,4,450
151,1,1,
152,1,2,
153,2,1,500
154,2,1,728
155,1,1,450
156,2,5,170
157,2,4,
158,2,5,420
159,1,1,
160,2,3,2150
161,2,5,
162,1,4,
163,1,2,
164,2,5,
165,1,1,
166,2,4,100
167,1,4,100
168,1,2,900
169,1,3,700
170,1,3,1600
