,Obs,Gender,SearchTime,Benefits
1801,1802,2,3,1000.0
1807,1808,2,3,700.0
1809,1810,2,1,1070.0
1812,1813,1,1,1070.0
1813,1814,2,2,1070.0
1815,1816,2,2,700.0
1817,1818,2,3,3995.0
1818,1819,2,3,1000.0
1819,1820,2,2,700.0
1838,1839,2,2,3299.0
1842,1843,2,2,3570.0
1843,1844,2,3,700.0
1855,1856,2,3,1800.0
1857,1858,2,1,1070.0
1861,1862,2,3,400.0
1862,1863,2,3,430.0
1866,1867,2,3,400.0
1870,1871,2,1,800.0
1871,1872,2,2,800.0
1894,1895,2,3,2000.0
1901,1902,1,3,600.0
1914,1915,1,2,350.0
1918,1919,2,2,600.0
1933,1934,1,3,1200.0
1938,1939,2,3,1500.0
1960,1961,2,1,1500.0
1973,1974,2,3,350.0
1978,1979,1,2,800.0
1988,1989,1,3,410.0
1990,1991,1,3,1300.0
1993,1994,2,2,2290.0
2003,2004,2,2,2000.0
2004,2005,2,3,3100.0
2011,2012,1,2,540.0
2020,2021,1,3,2700.0
2035,2036,2,3,2000.0
2051,2052,2,2,500.0
2055,2056,2,2,1900.0
2065,2066,1,2,800.0
2074,2075,1,3,700.0
2081,2082,2,2,1300.0
2097,2098,2,2,1300.0
2105,2106,2,3,70.0
2126,2127,2,3,1000.0
2128,2129,1,2,600.0
2129,2130,2,3,630.0
2147,2148,2,3,2500.0
2150,2151,2,2,400.0
2154,2155,2,2,450.0
2163,2164,2,3,450.0
2166,2167,1,1,1000.0
2171,2172,2,3,400.0
2173,2174,2,2,900.0
2177,2178,2,2,600.0
2187,2188,2,2,2200.0
2195,2196,1,2,820.0
2196,2197,2,2,700.0
