,Obs,Gender,SearchTime,Benefits
1803,1804,2,5,1400.0
1806,1807,1,5,
1808,1809,2,5,714.0
1810,1811,1,5,1070.0
1820,1821,1,5,450.0
1827,1828,2,5,
1829,1830,1,5,
1832,1833,2,5,700.0
1834,1835,2,5,
1839,1840,1,5,
1844,1845,2,5,
1845,1846,1,5,
1847,1848,1,5,
1853,1854,1,5,
1854,1855,2,5,
1865,1866,2,5,
1874,1875,1,5,
1875,1876,1,5,
1876,1877,1,5,
1877,1878,1,5,
1882,1883,1,5,
1886,1887,1,5,
1897,1898,1,5,
1904,1905,2,5,
1906,1907,1,5,
1907,1908,2,5,500.0
1911,1912,1,5,
1915,1916,2,5,
1916,1917,2,5,
1919,1920,1,5,
1923,1924,1,5,
1924,1925,2,5,400.0
1925,1926,1,5,
1927,1928,1,5,
1928,1929,2,5,
1929,1930,1,5,
1930,1931,1,5,
1931,1932,1,5,
1932,1933,1,5,
1934,1935,2,5,386.0
1936,1937,1,5,
1937,1938,1,5,
1940,1941,2,5,450.0
1943,1944,2,5,1050.0
1945,1946,2,5,
1946,1947,2,5,
1947,1948,2,5,
1948,1949,2,5,
1953,1954,2,5,
1957,1958,2,5,
1959,1960,2,5,
1961,1962,1,5,420.0
1962,1963,2,5,1000.0
1966,1967,2,5,
1967,1968,1,5,
1968,1969,2,5,350.0
1970,1971,1,5,
1972,1973,1,5,680.0
1975,1976,2,5,
1976,1977,1,5,
1977,1978,2,5,
1983,1984,2,5,
1985,1986,1,5,
1986,1987,1,5,400.0
1987,1988,1,5,400.0
1989,1990,1,5,
1998,1999,2,5,
2000,2001,2,5,700.0
2001,2002,1,5,591.0
2002,2003,1,5,
2007,2008,2,5,
2010,2011,2,5,
2014,2015,2,5,
2015,2016,2,5,
2019,2020,1,5,
2021,2022,2,5,
2022,2023,1,5,
2038,2039,1,5,
2041,2042,2,5,
2042,2043,1,5,
2047,2048,1,5,
2048,2049,1,5,
2052,2053,2,5,
2062,2063,2,5,1100.0
2066,2067,2,5,900.0
2067,2068,1,5,
2073,2074,1,5,
2079,2080,1,5,
2080,2081,1,5,
2084,2085,2,5,
2087,2088,2,5,
2088,2089,2,5,
2089,2090,2,5,
2091,2092,2,5,1300.0
2099,2100,1,5,
2102,2103,2,5,
2107,2108,1,5,96.0
2121,2122,1,5,
2122,2123,1,5,880.0
2123,2124,1,5,
2124,2125,2,5,1050.0
2130,2131,1,5,
2131,2132,1,5,380.0
2133,2134,1,5,
2135,2136,2,5,
2136,2137,1,5,
2137,2138,1,5,
2138,2139,2,5,420.0
2148,2149,2,5,430.0
2151,2152,1,5,
2160,2161,1,5,
2165,2166,1,5,
2167,2168,2,5,420.0
2168,2169,1,5,
2170,2171,2,5,
2174,2175,1,5,
2175,2176,1,5,
2178,2179,2,5,
2179,2180,2,5,
2180,2181,1,5,450.0
2181,2182,2,5,860.0
2182,2183,2,5,
2183,2184,1,5,450.0
2184,2185,1,5,
2188,2189,1,5,
2191,2192,2,5,
2194,2195,1,5,
2198,2199,1,5,
