,Obs,Gender,SearchTime,Benefits
203,204,1,5,
206,207,2,5,
214,215,2,5,
215,216,2,5,
220,221,2,5,
226,227,2,5,942.0
228,229,2,5,700.0
229,230,1,5,700.0
232,233,2,5,
234,235,2,5,
235,236,2,5,2000.0
236,237,1,5,
238,239,2,5,700.0
247,248,1,5,
254,255,1,5,160.0
261,262,1,5,
263,264,1,5,
264,265,2,5,
265,266,1,5,
269,270,2,5,
270,271,2,5,400.0
271,272,1,5,200.0
291,292,2,5,
292,293,2,5,
298,299,2,5,
300,301,1,5,100.0
303,304,2,5,
305,306,2,5,
306,307,2,5,
308,309,2,5,300.0
309,310,1,5,
310,311,1,5,400.0
311,312,1,5,
314,315,1,5,
317,318,2,5,1200.0
318,319,1,5,1800.0
320,321,1,5,450.0
322,323,1,5,713.0
325,326,2,5,
326,327,1,5,
330,331,2,5,475.0
331,332,1,5,
333,334,2,5,
334,335,2,5,600.0
335,336,2,5,450.0
341,342,1,5,
343,344,2,5,
352,353,1,5,
358,359,2,5,
360,361,2,5,450.0
367,368,1,5,
368,369,1,5,
371,372,1,5,
373,374,2,5,
374,375,1,5,
376,377,2,5,800.0
377,378,2,5,
378,379,2,5,
380,381,1,5,
381,382,2,5,
382,383,2,5,
386,387,2,5,1000.0
387,388,2,5,1300.0
388,389,1,5,
390,391,2,5,450.0
393,394,2,5,
394,395,2,5,
395,396,2,5,1100.0
396,397,1,5,600.0
397,398,2,5,1000.0
399,400,1,5,
400,401,1,5,
401,402,1,5,
402,403,1,5,465.0
405,406,2,5,
429,430,2,5,
430,431,2,5,
431,432,2,5,
432,433,2,5,
439,440,1,5,
440,441,2,5,
441,442,2,5,
442,443,2,5,
444,445,1,5,
449,450,2,5,
457,458,2,5,
459,460,2,5,
461,462,2,5,600.0
462,463,2,5,500.0
463,464,1,5,
464,465,2,5,
466,467,1,5,
468,469,2,5,300.0
470,471,1,5,
471,472,2,5,340.0
472,473,1,5,
473,474,2,5,590.0
478,479,1,5,
479,480,1,5,
480,481,2,5,
482,483,1,5,
492,493,2,5,
499,500,1,5,
504,505,2,5,
511,512,2,5,
518,519,2,5,316.0
520,521,2,5,
522,523,1,5,
523,524,1,5,
524,525,1,5,
530,531,2,5,500.0
531,532,1,5,
538,539,2,5,
542,543,1,5,
543,544,2,5,
544,545,2,5,350.0
546,547,2,5,
561,562,1,5,
565,566,1,5,
566,567,1,5,
567,568,2,5,1200.0
570,571,2,5,
571,572,1,5,
578,579,2,5,
579,580,1,5,
580,581,2,5,
583,584,1,5,
584,585,1,5,
585,586,1,5,379.0
586,587,2,5,
587,588,1,5,
590,591,1,5,
596,597,1,5,
