,Obs,Gender,SearchTime,Benefits
209,210,2,2,1800.0
211,212,1,3,2200.0
218,219,2,4,520.0
219,220,2,2,450.0
221,222,2,3,650.0
222,223,2,2,650.0
225,226,1,3,420.0
226,227,2,5,942.0
227,228,1,4,2600.0
228,229,2,5,700.0
229,230,1,5,700.0
231,232,1,3,1300.0
235,236,2,5,2000.0
238,239,2,5,700.0
249,250,2,2,1650.0
254,255,1,5,160.0
266,267,2,4,900.0
267,268,2,4,250.0
270,271,2,5,400.0
271,272,1,5,200.0
288,289,1,2,1000.0
290,291,1,3,150.0
297,298,2,4,200.0
299,300,1,4,1840.0
300,301,1,5,100.0
304,305,1,4,3500.0
308,309,2,5,300.0
310,311,1,5,400.0
312,313,1,2,2600.0
313,314,2,2,1800.0
317,318,2,5,1200.0
318,319,1,5,1800.0
320,321,1,5,450.0
322,323,1,5,713.0
323,324,2,3,713.0
324,325,2,3,713.0
327,328,2,2,2300.0
328,329,2,4,450.0
330,331,2,5,475.0
334,335,2,5,600.0
335,336,2,5,450.0
340,341,2,2,2500.0
344,345,2,3,700.0
351,352,2,4,475.0
353,354,1,3,1800.0
357,358,2,4,2300.0
359,360,2,2,400.0
360,361,2,5,450.0
366,367,1,3,3900.0
370,371,2,4,800.0
372,373,2,4,700.0
376,377,2,5,800.0
383,384,2,4,640.0
386,387,2,5,1000.0
387,388,2,5,1300.0
389,390,1,4,800.0
390,391,2,5,450.0
391,392,1,4,450.0
392,393,2,3,450.0
395,396,2,5,1100.0
396,397,1,5,600.0
397,398,2,5,1000.0
402,403,1,5,465.0
404,405,2,3,900.0
424,425,2,2,1500.0
428,429,1,3,900.0
437,438,1,3,340.0
438,439,2,3,340.0
448,449,2,4,300.0
452,453,2,4,320.0
461,462,2,5,600.0
462,463,2,5,500.0
468,469,2,5,300.0
471,472,2,5,340.0
473,474,2,5,590.0
475,476,2,4,640.0
481,482,1,3,2100.0
483,484,2,4,1600.0
487,488,2,4,400.0
496,497,2,4,540.0
505,506,2,3,744.0
517,518,2,2,600.0
518,519,2,5,316.0
519,520,2,2,316.0
528,529,1,4,1500.0
530,531,2,5,500.0
532,533,1,1,540.0
533,534,1,4,850.0
534,535,2,2,390.0
535,536,1,4,390.0
544,545,2,5,350.0
550,551,1,2,300.0
564,565,2,2,800.0
567,568,2,5,1200.0
568,569,2,3,600.0
569,570,2,4,1100.0
572,573,1,4,1200.0
585,586,1,5,379.0
589,590,2,3,475.0
593,594,1,4,1000.0
594,595,2,4,870.0
595,596,2,2,1248.0
